9232,United States District Court for the Eastern District of Arkansas,E.D. Ark.,1949
9234,Cuyahoga County Probate Court,Cuyahoga Cty. Prob. Ct.,127
9235,"County Court of New York, Delaware County",Delaware Cty. Ct.,54
9236,Athens County Court of Common Pleas,Athens Cty. C.P.,17
9237,Gloversville City Court,Gloversville City Ct.,2
9238,Middletown City Court,Middletown City Ct.,13
9240,Kings County Court,Kings Cty. Ct.,41
9241,"County Court of New York, Queens County",Queens Cty. Ct.,77
9242,Essex County Court,Essex County. Ct.,6
9243,Zanesville Municipal Court,Zanesville Mun. Ct.,2
9244,New York City Court,N.Y. City Ct.,7302
9245,Yonkers City Court,Yonkers City Ct.,94
9248,Lucas County Court of Common Pleas,Lucas Cty. C.P.,225
9249,New York Court of Special Sessions,N.Y. Ct. Spec. Sess.,424
9250,Ossining Justice Court,Ossining J. Ct.,17
9251,Clarkstown Justice Court,Clarkstown J. Ct.,10
9253,Watertown City Court,Watertown City Ct.,33
9254,Justice Court of Village of Valley Stream,Valley Stream J. Ct.,7
9255,Auburn City Court,Auburn City Ct.,16
9256,Trumbull County Court of Common Pleas,Trumbull Cty. C.P.,81
9258,United States District Court for the District of Kentucky,D. Ky.,93
9259,Suffolk County District Court,Suffolk Dist. Ct.,334
9260,Union County Court,Union Cty. Ct.,61
9261,Justice Court of Village of Tuckahoe,Tuckahoe J. Ct.,8
9262,Auglaize County Court of Common Pleas,Auglaize Cty. C.P.,11
9263,Niagara County Court,Niagara Cty. Ct.,12
9264,Albany City Court,Albany City Ct.,99
9266,United States District Court for the District of South Carolina,D.S.C.,2641
9267,Orangetown Justice Court,Orangetown J. Ct.,3
9268,United States District Court for the District of West Virginia,D.W. Va.,29
9269,New York Domestic Relations Court,N.Y. Dom. Rel. Ct.,224
9270,Orange County Court,Orange Cty. Ct.,6
9271,Poughkeepsie City Court,Poughkeepsie City Ct.,23
9272,"County Court of New York, Suffolk County",Suffolk Cty. Ct.,241
9273,United States District Court for the District of New Hampshire,D.N.H.,1432
9274,Erie County Court,Erie Cty. Ct.,26
9275,White Plains City Court,White Plains City Ct.,48
9276,Cuyahoga Municipal Court,Cuyahoga Mun. Ct.,2
9278,Albany County Court,Albany Cty. Ct.,6
9279,"County Court of New York, St. Lawrence County",St. Lawrence Cty. Ct.,48
9280,"County Court of New York, Saratoga County",Saratoga Cty. Ct.,127
9281,Eastchester Justice Court,Eastchester J. Ct.,1
9282,Brighton Justice Court,Brighton J. Ct.,13
9283,Rochester City Court,Rochester City Ct.,172
9284,New Rochelle City Court,New Rochelle City Ct.,55
9285,Oklahoma Supreme Court,Okla.,41188
9286,Delaware Superior Court,Del. Super. Ct.,5184
9289,South Dakota Supreme Court,S.D.,16519
9292,Supreme Court of North Carolina,N.C.,69401
9293,Middlesex County Court,Middlesex Cty. Ct.,52
9294,Utah Supreme Court,Utah,16514
9296,Hamilton Circuit Court,Hamilton Cir. Ct.,994
9297,United States Circuit Court for the District of Connecticut,C.C.D. Conn.,705
9299,Iowa Supreme Court,Iowa,51700
9300,United States Circuit Court for the District of Minnesota,C.C.D. Minn.,544
9301,United States Circuit Court for the Northern District of Illinois,C.C.N.D. Ill.,1241
9302,Supreme Court of Appeals of Virginia,Va.,20529
9303,Monmouth County Court,Monmouth Cty. Ct.,38
9306,Surrogate's Court,N.Y. Sur. Ct.,45
9307,Lucas Circuit Court,Lucas Cir. Ct.,539
9309,Delaware Court of General Sessions,Del. Ct. Gen. Sess.,515
9311,Adams County Court of Common Pleas,Adams Cty. C.P.,479
9312,Sandusky Circuit Court,Sandusky Cir. Ct.,29
9313,United States Circuit Court for the Northern District of California,C.C.N.D. Cal.,515
9315,Delaware Court of Common Pleas,Del. C.P.,275
9316,Cuyahoga Circuit Court,Cuyahoga Cir. Ct.,1151
9317,United States Circuit Court for the Eastern District of Oklahoma,C.C.E.D. Okla,20
9318,Lackawanna County Court of Common Pleas,Lackawanna Cty. C.P.,998
9319,United States Court of Appeals for the Third Circuit,3rd Cir.,178
9320,Morris County Juvenile and Domestic Relations Court,Morris Cty. Juv. & Dom. Rel. Ct.,8
9321,Summit Circuit Court,Summit Cir. Ct.,136
9322,Delaware Supreme Court,Del.,6588
9324,United States Customs Court,Cust. Ct.,46056
9325,Hudson County Court,Hudson Cty. Ct.,134
9326,Beaver County Court of Common Pleas,Beaver Cty. C.P.,458
9327,United States Temporary Emergency Court of Appeals,Temp. Emer. Ct. App.,341
9328,United States Circuit Court for the District of Vermont,C.C.D. Vt.,325
9329,United States District Court for the Western District of South Carolina,W.D.S.C.,365
9330,Delaware Court of Oyer and Terminer,Del. Ct. Oyer & Terminer,111
9331,United States Circuit Court for the District of New Jersey,C.C.D.N.J.,792
9332,Clark Circuit Court,Clark Cir. Ct.,19
9333,United States Circuit Court for the Western District of Arkansas,C.C.W.D. Ark.,100
9334,United States Bankruptcy Court for the Northern District of Illinois,Bankr. N.D. Ill.,2389
9335,United States Circuit Court for the Northern District of Ohio,C.C.N.D. Ohio,391
9336,United States Circuit Court for the Western District of Pennsylvania,C.C.W.D. Pa.,579
9337,United States Circuit Court for the District of South Dakota,C.C.D.S.D.,39
9338,Centre County Court of Common Pleas,Centre Cty. C.P.,306
9339,Pickaway Circuit Court,Pickaway Cir. Ct.,18
9340,United States Bankruptcy Court for the Southern District of New York,Bankr. S.D.N.Y.,3172
9341,United States District Court for the District of Alaska,D. Alaska,1282
9342,United States Circuit Court for the District of Oregon,C.C.D. Or.,679
9343,United States Bankruptcy Court for the Northern District of Ohio,Bankr. N.D. Ohio,2161
9345,United States Circuit Court for the Eastern District of Pennsylvania,C.C.E.D. Pa.,1736
9346,United States Bankruptcy Appellate Panel for the Sixth Circuit,B.A.P. 6th Cir.,245
9347,United States District Court of the Eastern District of Missouri,C.C.E.D. Mo.,3
9349,Lorain Circuit Court,Lorain Cir. Ct.,94
9352,United States Circuit Court for the Eastern District of Washington,C.C.E.D. Wash.,34
9353,United States Circuit Court for the Northern District of New York,C.C.N.D.N.Y.,850
9354,United States Bankruptcy Appellate Panel for the First Circuit,B.A.P. 1st Cir.,388
9355,Justice Court of Town of Wesbster,Wesbster J. Ct.,2
9356,United States Circuit Court for the Western District of Washington,C.C.W.D. Wash.,50
9357,United States Bankruptcy Court for the District of Massachusetts,Bankr. D. Mass.,1932
9358,Franklin Circuit Court,Franklin Cir. Ct.,152
9359,New Jersey Superior Court,N.J. Super. Ct.,6
9362,United States Circuit Court for the District of Maine,C.C.D. Me.,351
9363,United States Circuit Court for the Western District of New York,C.C.W.D.N.Y.,105
9364,Erie Circuit Court,Erie Cir. Ct.,34
9367,United States Bankruptcy Court for the District of Delaware,Bankr. D. Del.,1178
9369,Court of Customs and Patent Appeals,C.C.P.A.,466
9370,Medina Circuit Court,Medina Cir. Ct.,18
9371,United States Circuit Court for the District of Kansas,C.C.D. Kan.,285
9372,United States Circuit Court for the Eastern District of Kentucky,C.C.E.D. Ky.,27
9374,United States District Court for the Northern District of Florida,N.D. Fla.,994
9375,United States Circuit Court for the District of Delaware,C.C.D. Del.,110
9376,Gloucester County Court,Gloucester Cty. Ct.,3
9377,United States Bankruptcy Court for the Northern District of Mississippi,Bankr. N.D. Miss.,278
9378,United States Circuit Court for the Eastern District of Arkansas,C.C.E.D. Ark.,181
9379,"County Court of New York, Schoharie County",Schoharie Cty. Ct.,62
9380,Harrison Circuit Court,Harrison Cir. Ct.,9
9381,United States Circuit Court for the Southern District of Georgia,C.C.S.D. Ga.,227
9382,Coshocton Circuit Court,Coshocton Cir. Ct.,4
9383,United States Bankruptcy Court for the Eastern District of Michigan,Bankr. E.D. Mich.,1018
9384,Stark Circuit Court,Stark Cir. Ct.,44
9385,United States Circuit Court for the Eastern District of Michigan,C.C.E.D. Mich.,256
9386,United States Circuit Court for the Eastern District of New York,C.C.E.D.N.Y.,582
9388,United States Circuit Court for the District of Massachusetts,C.C.D. Mass.,2183
9389,United States Bankruptcy Court for the Eastern District of Tennessee,Bankr. E.D. Tenn.,875
9390,Fairfield Circuit Court,Fairfield Cir. Ct.,13
9391,United States Circuit Court for the District of Idaho,C.C.D. Idaho,65
9392,United States Circuit Court for the Southern District of Texas,C.C.S.D. Tex.,6
9394,United States Bankruptcy Court for the Northern District of Iowa,Bankr. N.D. Iowa,457
9395,Jefferson Circuit Court,Jefferson Cir. Ct.,18
9396,United States Bankruptcy Court for the Western District of Missouri,Bankr. W.D. Mo.,1371
9397,United States Circuit Court for the Western District of Missouri,C.C.W.D. Mo.,431
9398,Ottawa Circuit Court,Ottawa Cir. Ct.,23
9399,Ashtabula Circuit Court,Ashtabula Cir. Ct.,29
9400,United States Circuit Court for the Middle District of Tennessee,C.C.M.D. Tenn.,53
9401,United States Bankruptcy Court for the District of Arizona,Bankr. D. Ariz.,427
9402,Hancock Circuit Court,Hancock Cir. Ct.,50
9403,United States Bankruptcy Court for the Western District of Washington,Bankr. W.D. Wash.,195
9405,United States District Court for the District of Missouri,D. Mo.,27
9406,United States Bankruptcy Court for the Northern District of Florida,Bankr. N.D. Fla.,319
9407,United States Circuit Court for the Western District of Michigan,C.C.W.D. Mich.,152
9408,United States Circuit Court for the Northern District of Georgia,C.C.N.D. Ga.,272
9409,United States Commerce Court,Comm. Ct.,41
9410,United States Emergency Court of Appeals,Emer. Ct. App.,340
9411,Trumbull Circuit Court,Trumbull Cir. Ct.,8
9412,United States Circuit Court for the Northern District of Alabama,C.C.N.D. Ala.,79
9413,United States Bankruptcy Court for the Middle District of North Carolina,Bankr. M.D.N.C.,239
9414,Mahoning Circuit Court,Mahoning Cir. Ct.,34
9416,Hornell City Court,Hornell City Ct.,4
9417,Richland Circuit Court,Richland Cir. Ct.,27
9418,Sand Lake Justice Court,Sand Lake J. Ct.,5
9420,United States District Court for the District of Wyoming,D. Wyo,148
9421,United States Bankruptcy Court for the Northern District of Indiana,Bankr. N.D. Ind.,439
9422,Geauga Circuit Court,Geauga Cir. Ct.,9
9424,United States Bankruptcy Court for the District of Minnesota,Bankr. D. Minn.,830
9427,United States Circuit Court for the Southern District of California,C.C.S.D. Cal.,251
9428,United States Bankruptcy Court for the District of Kansas,Bankr. D. Kan.,794
9429,Hamilton County Circuit Court,Hamilton Cty. Cir. Ct.,692
9430,United States Bankruptcy Court for the District of New Mexico,Bankr. D.N.M.,504
