"Pears."	"Decisions of the Honorable John J. Pearson, judge of the twelvth judicial district"	199	https://api.case.law/v1/cases/?reporter=808	https://api.case.law/v1/reporters/808
"Smith"	"Decisions of the Superior and Supreme Courts of New Hampshire, from 1802 to 1809, and from 1813 to 1816."	75	https://api.case.law/v1/cases/?reporter=671	https://api.case.law/v1/reporters/671
"Ga. Super. Ct."	"Decisions of the Superior Courts of the state of Georgia"	0	https://api.case.law/v1/cases/?reporter=695	https://api.case.law/v1/reporters/695
"Georgia Decisions"	"Decisions of the Superior Courts of the State of Georgia"	100	https://api.case.law/v1/cases/?reporter=181	https://api.case.law/v1/reporters/181
"C.M.A."	"Decisions of the United States Court of Military Appeals"	3823	https://api.case.law/v1/cases/?reporter=931	https://api.case.law/v1/reporters/931
"Del. Cas."	"Delaware Cases"	883	https://api.case.law/v1/cases/?reporter=199	https://api.case.law/v1/reporters/199
"Del. Ch."	"Delaware Chancery Reports"	2361	https://api.case.law/v1/cases/?reporter=200	https://api.case.law/v1/reporters/200
"Del. Co. Reps."	"Delaware County Reports"	0	https://api.case.law/v1/cases/?reporter=809	https://api.case.law/v1/reporters/809
"Del. (Harr.)"	"Delaware Reports"	965	https://api.case.law/v1/cases/?reporter=1053	https://api.case.law/v1/reporters/1053
"Del. (Penne.)"	"Delaware Reports"	687	https://api.case.law/v1/cases/?reporter=1056	https://api.case.law/v1/reporters/1056
"Del. (Boyce)"	"Delaware Reports"	714	https://api.case.law/v1/cases/?reporter=1057	https://api.case.law/v1/reporters/1057
"Del. (Marv.)"	"Delaware Reports"	180	https://api.case.law/v1/cases/?reporter=1055	https://api.case.law/v1/reporters/1055
"Del. (Houst.)"	"Delaware Reports"	626	https://api.case.law/v1/cases/?reporter=1054	https://api.case.law/v1/reporters/1054
"Del."	"Delaware Reports"	2122	https://api.case.law/v1/cases/?reporter=198	https://api.case.law/v1/reporters/198
"Dem. Sur."	"Demarest's Surrogate's Reports"	674	https://api.case.law/v1/cases/?reporter=147	https://api.case.law/v1/reporters/147
"Denio"	"Denio's Reports"	613	https://api.case.law/v1/cases/?reporter=114	https://api.case.law/v1/reporters/114
"Docket"	"Docket"	0	https://api.case.law/v1/cases/?reporter=863	https://api.case.law/v1/reporters/863
"Dudley Rep."	"Dudley's Georgia Reports"	106	https://api.case.law/v1/cases/?reporter=179	https://api.case.law/v1/reporters/179
"Duer Super. Ct. Rep."	"Duer's Superior Court Reports"	575	https://api.case.law/v1/cases/?reporter=176	https://api.case.law/v1/reporters/176
